df_stat,crit_value_1pct,crit_value_5pct,crit_value_10pct,half_life,time_resolution,start_date,end_date,length
-2.686415217400825,-3.43,-2.86,-2.57,454.38066895418694,300,2017-03-02,2017-04-02,-31
-2.256215566554253,-3.43,-2.86,-2.57,77.57389611418999,7200,2017-04-27,2017-08-13,-108
-2.3081989162403125,-3.51,-2.89,-2.58,10.888036043808484,7200,2017-07-19,2017-07-27,-8
-2.120625152975808,-3.46,-2.88,-2.57,21.80080156731015,14400,2017-06-19,2017-07-30,-41
-2.09383984542433,-3.44,-2.87,-2.57,29.4408588878797,14400,2017-07-31,2017-09-17,-48
-1.7493504710413101,-3.46,-2.88,-2.57,12.430929114381478,86400,2017-04-23,2017-08-24,-123
-2.3006164937805016,-3.43,-2.86,-2.57,167.8963289043241,900,2017-07-12,2017-08-04,-23
-2.891497317389047,-3.43,-2.86,-2.57,402.44455364450124,900,2017-07-04,2017-09-18,-76
-3.0292642506808978,-3.43,-2.86,-2.57,425.80007250264214,900,2017-04-02,2017-07-30,-119
-2.651749055861143,-3.43,-2.86,-2.57,197.9527638579109,1800,2017-07-18,2017-09-30,-74
-2.2257171192396306,-3.44,-2.87,-2.57,32.147460589685146,14400,2017-07-08,2017-09-05,-59
-2.355287422602637,-3.43,-2.86,-2.57,54.337579276174495,14400,2017-03-04,2017-07-09,-127
-2.3530898852698794,-3.46,-2.88,-2.57,20.852438542283622,14400,2017-05-14,2017-06-24,-41
-1.6362793730262304,-3.51,-2.89,-2.58,12.630189406885176,86400,2017-01-17,2017-04-22,-95
-3.359967636903207,-3.43,-2.86,-2.57,143.13522716176027,300,2017-01-16,2017-01-30,-14
-2.514613983049217,-3.46,-2.88,-2.57,8.960005258669467,1800,2017-09-16,2017-09-19,-3
-3.1934282865445853,-3.43,-2.86,-2.57,199.3932879831111,1800,2017-03-28,2017-06-25,-89
-2.54502951804917,-3.44,-2.87,-2.57,19.54681876746373,900,2017-03-30,2017-04-02,-3
-2.896627747291455,-3.43,-2.86,-2.57,120.25197792743954,300,2017-04-07,2017-04-17,-10
-1.8479147401250646,-3.75,-3,-2.63,2.7852627252880127,86400,2017-07-22,2017-08-15,-24
-2.3145855526880545,-3.46,-2.88,-2.57,11.368418530762312,86400,2017-03-14,2017-07-14,-122
