time_resolution,quote_currency,cointegration_test,adf_threshold,distance_threshold,train_window,test_window,model_type,spread_type,rolling_window,signal_logic,signal_scaled_enter,signal_discrete_enter,signal_discrete_exit,signal_stop,signal_reenter,signal_reenter_threshold,pair_allocation,pair_allocation_scaling,overall_return
7200,BTC,eg,-1.9500000000000002,4,17d 0H 0M 0S,20d 0H 0M 0S,raw,fixed,204,discrete,3,1.6,0,4.2,TRUE,1.5,weighted,1.6,0.7065288338657123
14400,USDT,distance,-2.6500000000000004,28,43d 0H 0M 0S,10d 0H 0M 0S,log,fixed,102,scaled,4,1.75,0.1,5.7,TRUE,0.30000000000000004,weighted,1.6,0.7062476349704055
14400,USDT,distance,-2.75,26,12d 0H 0M 0S,44d 0H 0M 0S,raw,rolling,72,scaled,4,1.9,0.45,3.5,FALSE,0.8,weighted,1.9,0.7049243549557315
900,USDT,distance,-2.55,26,25d 0H 0M 0S,47d 0H 0M 0S,log,fixed,1152,scaled,4,2.05,0.9,6.4,TRUE,0.25,weighted,1.3,0.7041121612755639
1800,BTC,distance,-1.35,24,14d 0H 0M 0S,56d 0H 0M 0S,raw,rolling,672,scaled,2,2.2,0.2,5.9,FALSE,0.9,equal,1,0.7031726076404113
7200,USDT,distance,-3.25,16,31d 0H 0M 0S,32d 0H 0M 0S,raw,rolling,228,discrete,2,1.3,0.7000000000000001,4.4,TRUE,1.25,scaled,1.25,0.7031284719811333
14400,BTC,eg,-2.6500000000000004,30,21d 0H 0M 0S,60d 0H 0M 0S,log,rolling,126,scaled,2,2,0.9500000000000001,4.25,FALSE,0.1,equal,1.75,0.7026429587093418
900,USDT,eg,-1.65,16,10d 0H 0M 0S,20d 0H 0M 0S,raw,rolling,960,discrete,4,1.1,0.05,6.550000000000001,TRUE,0.9500000000000001,weighted,1.9500000000000002,0.7020834691177494
14400,USDT,distance,-2.6,30,21d 0H 0M 0S,44d 0H 0M 0S,log,rolling,126,scaled,2,1.15,0,5.95,FALSE,1.2000000000000002,scaled,1.05,0.701915238042664
1800,USDT,distance,-2.8,26,16d 0H 0M 0S,32d 0H 0M 0S,raw,rolling,768,scaled,3,2.45,0.75,6.6,TRUE,0.2,equal,1.25,0.7018009789887041
300,USDT,distance,-1,4,35d 0H 0M 0S,59d 0H 0M 0S,raw,rolling,10080,discrete,4,2.8,0.9500000000000001,6.5,FALSE,0.75,scaled,1.6,0.7016622835221777
14400,BTC,eg,-3.0500000000000003,22,33d 0H 0M 0S,5d 0H 0M 0S,log,rolling,198,scaled,4,2.1500000000000004,0,4.9,FALSE,1.6,weighted,2,0.701443573902305
14400,BTC,eg,-1.35,8,11d 0H 0M 0S,57d 0H 0M 0S,raw,fixed,66,discrete,4,1,0,5.75,FALSE,0.55,scaled,1.8,0.7010664602602756
86400,USDT,eg,-3.15,18,53d 0H 0M 0S,14d 0H 0M 0S,raw,fixed,24,scaled,3,2.95,0.65,4.75,TRUE,1.25,equal,1.65,0.7008029969899463
14400,BTC,distance,-3.75,10,31d 0H 0M 0S,28d 0H 0M 0S,log,rolling,186,scaled,3,1.8,0.45,3.7,TRUE,1.35,scaled,1.4,0.7005638954269234
7200,USDT,distance,-1.15,30,46d 0H 0M 0S,33d 0H 0M 0S,log,fixed,552,scaled,4,1.05,0.55,4.9,TRUE,0.2,equal,1.7000000000000002,0.7005520948579906
7200,USDT,eg,-2.25,18,56d 0H 0M 0S,43d 0H 0M 0S,raw,rolling,96,discrete,2,1.9500000000000002,0.6000000000000001,6.050000000000001,TRUE,1.1,weighted,1.5,0.7001692617447297
14400,USDT,eg,-1.9,20,54d 0H 0M 0S,19d 0H 0M 0S,raw,rolling,252,discrete,2,2,0.35000000000000003,4.7,TRUE,0.7000000000000001,weighted,1.65,0.7000292060611848
86400,USDT,distance,-3.6500000000000004,10,32d 0H 0M 0S,60d 0H 0M 0S,raw,fixed,14,scaled,4,2.5,0.45,3.05,TRUE,0.35000000000000003,equal,1.35,0.6986583116539793
14400,USDT,distance,-2.1500000000000004,10,45d 0H 0M 0S,12d 0H 0M 0S,raw,rolling,270,discrete,3,1.25,0,6.95,TRUE,1.75,weighted,1.55,0.6983385350343427
900,BTC,eg,-1.05,16,26d 0H 0M 0S,7d 0H 0M 0S,log,fixed,2496,discrete,3,1.2,0.65,5.2,FALSE,0,weighted,1,0.6979046850703414
