time_resolution,train_window,test_window,quote_currency,adf_threshold,rolling_window,stop_threshold,signal_logic,model_type,overall_return
86400,60d 0H 0M 0S,7d 0H 0M 0S,USDT,-3.6,29,6.87,scaled,log,1.0443999097051515
300,19d 0H 0M 0S,55d 0H 0M 0S,USDT,-3.39,5472,3.55,discrete,raw,1.040482596717107
900,20d 0H 0M 0S,59d 0H 0M 0S,BTC,-3.0100000000000002,1344,6.970000000000001,discrete,raw,1.0402804464692055
86400,52d 0H 0M 0S,33d 0H 0M 0S,USDT,-1.6600000000000001,11,6.67,discrete,raw,1.032189462292326
86400,10d 0H 0M 0S,33d 0H 0M 0S,USDT,-1.37,10,4.18,discrete,log,1.0315049312243636
900,7d 0H 0M 0S,19d 0H 0M 0S,USDT,-2.7,672,6.109999999999999,scaled,raw,1.0287316432916362
300,12d 0H 0M 0S,56d 0H 0M 0S,BTC,-1.16,3456,3.43,discrete,log,1.0252895853332076
7200,47d 0H 0M 0S,8d 0H 0M 0S,BTC,-2.9000000000000004,288,5.27,discrete,raw,1.0239604345668063
1800,48d 0H 0M 0S,57d 0H 0M 0S,USDT,-2.96,432,4.07,scaled,log,1.0183198266426545
7200,34d 0H 0M 0S,50d 0H 0M 0S,USDT,-2.2,144,4.140000000000001,discrete,log,1.01676359602641
1800,45d 0H 0M 0S,42d 0H 0M 0S,USDT,-2.44,912,3.73,scaled,raw,1.0162667787071338
1800,9d 0H 0M 0S,42d 0H 0M 0S,USDT,-3.5100000000000002,432,4.390000000000001,scaled,log,1.014577862004545
7200,58d 0H 0M 0S,44d 0H 0M 0S,USDT,-2.79,552,5.92,scaled,log,1.0111664702414604
900,41d 0H 0M 0S,19d 0H 0M 0S,USDT,-1.31,2592,3.15,discrete,raw,1.0109603849275732
14400,11d 0H 0M 0S,45d 0H 0M 0S,USDT,-3.47,66,6.13,discrete,raw,1.0108135636223272
300,47d 0H 0M 0S,22d 0H 0M 0S,BTC,-2.62,6624,3.37,discrete,raw,1.0100222489130197
86400,47d 0H 0M 0S,54d 0H 0M 0S,USDT,-2.06,17,3.35,discrete,raw,1.0080474713505891
900,53d 0H 0M 0S,29d 0H 0M 0S,USDT,-2.38,1344,3.26,scaled,log,1.007610445480791
900,7d 0H 0M 0S,46d 0H 0M 0S,USDT,-1.12,672,3.16,discrete,raw,1.0059080775682112
900,11d 0H 0M 0S,5d 0H 0M 0S,USDT,-2.1799999999999997,1056,4.48,scaled,raw,1.00523251586975
300,47d 0H 0M 0S,21d 0H 0M 0S,BTC,-1.25,13536,3.05,discrete,raw,1.0043890834653197
86400,36d 0H 0M 0S,39d 0H 0M 0S,BTC,-3.02,5,3.7,discrete,log,1
1800,43d 0H 0M 0S,30d 0H 0M 0S,BTC,-3.14,1200,3.47,scaled,raw,0.9981638657093276
7200,26d 0H 0M 0S,11d 0H 0M 0S,USDT,-1.11,312,4.9399999999999995,discrete,raw,0.9974338584368286
86400,16d 0H 0M 0S,37d 0H 0M 0S,USDT,-1.8399999999999999,16,3.69,discrete,log,0.9915663922394987
14400,45d 0H 0M 0S,15d 0H 0M 0S,BTC,-2.63,126,5.550000000000001,discrete,raw,0.9903144860659115
1800,31d 0H 0M 0S,35d 0H 0M 0S,BTC,-3.5300000000000002,1488,3.12,scaled,raw,0.9893559338922762
86400,52d 0H 0M 0S,26d 0H 0M 0S,USDT,-3.69,40,5.970000000000001,discrete,raw,0.9891217119824344
86400,34d 0H 0M 0S,19d 0H 0M 0S,BTC,-3.13,15,5.38,discrete,raw,0.9878132681257558
